"MPA","Taxa","Mean","SE","SD","CI","Model","Source","Resp","BA","Primary","AnalysisType","LinearBefore","N","DW_stat","DW_pval","Lat","Lon","Location","MPA_Start","Quarter","Site","type","ChannelIsland","vi","Cooks_Distance","Cooks_Threshold","Is_Outlier","In_Final_Analysis","Exclusion_Reason"
"Abalone Cove SMCA","M. franciscanus",-1.61475479611937,0.492312902417835,1.70542192041878,1.0835733923433,"Linear","PISCO","Bio","N","Y","CI","NA",13,2.3971,0.6593,33.7392,-118.3857,"ML",2012,121,"Abalone Cove SMCA","SMCA",NA,0.242371993887073,0.176630930249082,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Anacapa Island SMR 2003","M. franciscanus",-2.52319149126455,0.381969931365651,1.52787972546261,0.814149636626816,"Linear","KFM","Bio","N","Y","CI","NA",17,1.9139,0.3194,34.008,-119.3983,"C",2003,85,"Anacapa Island SMR 2003","SMR","Anacapa",0.14590102846748,0.613561293634667,0.285714285714286,TRUE,FALSE,"Outlier (Cook's D=0.6136 > 0.2857)"
"Campus Point SMCA","M. franciscanus",-0.260196321225985,0.380903349914306,1.31948790964953,0.83836262059058,"Mean","PISCO","Bio","N","Y","CI","NA",12,1.8212,0.2439,34.4049,-119.8651,"ML",2012,121,"Campus Point SMCA","SMCA",NA,0.14508736197594,0.000885540834869177,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Gull Island SMR","M. franciscanus",1.17971463763095,0.386180281781602,2.28467335767985,0.78481275725743,"Linear","KFM","Bio","Y","Y","pBACIPS","N",36,1.705,0.1401,33.9562,-119.8234,"C",2003,85,"Gull Island SMR","SMR","Santa Cruz",0.149135210036917,0.00886278609943348,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Gull Island SMR","M. franciscanus",0.247312065359988,0.291971668295616,1.13080140887332,0.626216947409591,"Mean","PISCO","Bio","N","Y","CI","NA",15,1.2989,0.0375,33.9562,-119.8234,"C",2003,85,"Gull Island SMR","SMR","Santa Cruz",0.0852474550873254,0.0187867574899017,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Harris Point SMR","M. franciscanus",0.0104139770069473,0.149605327317175,0.579418941203328,0.320871514471463,"Mean","PISCO","Bio","N","Y","CI","NA",15,1.4254,0.0668,34.053,-120.3424,"C",2003,85,"Harris Point SMR","SMR","San Miguel",0.0223817539616791,0.0258837493497287,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Harris Point SMR","M. franciscanus",-0.658581461497388,0.526871246288385,3.0266448809632,1.07320160927519,"Sigmoid","KFM","Bio","Y","Y","pBACIPS","N",36,NA,NA,34.053,-120.3424,"C",2003,85,"Harris Point SMR","SMR","San Miguel",0.277593310165476,0.000202021425929629,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Naples SMCA","M. franciscanus",1.23051861202663,0.20489051678895,0.766630115623305,0.442639050477311,"Mean","LTER","Bio","N","Y","CI","NA",14,NA,NA,34.4321,-119.9514,"ML",2012,121,"Naples SMCA","SMCA",NA,0.041980123870043,0.000164503018146389,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Naples SMCA","M. franciscanus",1.20552940263793,0.246868803466106,0.890098129209487,0.537880916236549,"Mean","PISCO","Bio","N","Y","CI","NA",13,2.2386,0.5425,34.4321,-119.9514,"ML",2012,121,"Naples SMCA","SMCA",NA,0.0609442061247868,2.90544429796781e-06,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Point Vicente SMCA","M. franciscanus",0.25380934589668,0.126101254756091,0.471827691339589,0.272425198315688,"Mean","PISCO","Bio","N","Y","CI","NA",14,1.4067,0.0642,33.7403,-118.4087,"ML",2012,121,"Point Vicente SMCA","SMCA",NA,0.0159015264510605,0.0176522319396434,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Scorpion SMR","M. franciscanus",-1.25303635381983,0.270680502419565,1.62408301451739,0.549510633984744,"Step","KFM","Bio","Y","Y","pBACIPS","N",37,0.8589,0,34.05428,-119.5669,"C",2003,85,"Scorpion SMR","SMR","Santa Cruz",0.0732679343901079,0.00760939809949849,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Scorpion SMR","M. franciscanus",0.0657490612931105,0.147843883418176,0.627248475131674,0.311923328323041,"Mean","PISCO","Bio","N","Y","CI","NA",18,1.1606,0.0135,34.05428,-119.5669,"C",2003,85,"Scorpion SMR","SMR","Santa Cruz",0.0218578138641673,0.0854426041923951,0.285714285714286,FALSE,TRUE,"INCLUDED"
"South Point SMR","M. franciscanus",1.22889406175886,0.107523561524815,0.443331001409411,0.227939767867598,"Mean","KFM","Bio","N","Y","CI","NA",17,1.5104,0.0889,33.9022,-120.1391,"C",2003,85,"South Point SMR","SMR","Santa Rosa",0.0115613162829806,0.000224252544392889,0.285714285714286,FALSE,TRUE,"INCLUDED"
"South Point SMR","M. franciscanus",1.2019129338584,0.214305798405572,0.801858873632694,0.46297952977363,"Mean","PISCO","Bio","N","Y","CI","NA",14,1.9371,0.3272,33.9022,-120.1391,"C",2003,85,"South Point SMR","SMR","Santa Rosa",0.0459269752302495,6.59345060298278e-07,0.285714285714286,FALSE,TRUE,"INCLUDED"
"Abalone Cove SMCA","M. pyrifera",0.0928980342612579,0.439476004644354,1.58455326908127,0.957535957250013,"Mean","PISCO","Bio","N","Y","CI","NA",13,1.7465,0.2037,33.7392,-118.3857,"ML",2012,121,"Abalone Cove SMCA","SMCA",NA,0.193139158658164,0.135890347057331,0.129032258064516,TRUE,FALSE,"Outlier (Cook's D=0.1359 > 0.129)"
"Abalone Cove SMCA","M. pyrifera",3.03865184314377,0.77987706870741,4.6138149594829,1.58490089082343,"Linear","Landsat","Bio","Y","Y","pBACIPS","N",36,1.4029,0.0212,33.7392,-118.3857,"ML",2012,121,"Abalone Cove SMCA","SMCA",NA,0.608208242295663,0.0295003903853379,0.129032258064516,FALSE,TRUE,"INCLUDED"
"Anacapa Island SMR 2003","M. pyrifera",0.119783320989854,1.80947820121743,7.4606697508721,3.83592242758616,"Mean","KFM","Bio","N","Y","CI","NA",17,1.4318,0.0635,34.008,-119.3983,"C",2003,85,"Anacapa Island SMR 2003","SMR","Anacapa",3.27421136068105,0.000189278924372476,0.129032258064516,FALSE,TRUE,"INCLUDED"
